UID,Sample,Session,P,d636,d628,d627,d18O_VSMOW,D17O_VSMOW,d18O_residual,D17O_residual
95D06573,NBS18,2023-10,4.9969,26.2659,6.9366,3.6565,15.3903,-0.1098,-0.1815,-0.0085
DC7B99CB,NBS18,2023-10,4.9958,26.3171,7.0782,3.7489,15.5323,-0.0917,-0.0396,0.0096
D48136D1,NBS18,2023-10,4.9977,26.3112,6.9840,3.7062,15.4378,-0.0851,-0.1340,0.0162
ECE1F98B,IAEA603,2023-10,4.9978,33.9044,28.3336,14.7935,36.8355,-0.1341,0.0043,-0.0068
6AD90C89,IAEA603,2023-10,4.9969,33.9303,28.5227,14.8972,37.0251,-0.1286,0.1938,-0.0013
1083C7A5,VSMOW2_x438,2023-10,4.9970,27.5678,32.8690,17.1377,41.3812,-0.1416,-0.0009,-0.0046
4DFEBF34,SLAP2_x450,2023-10,4.9964,27.7225,-24.5007,-12.9764,-16.1177,-0.1400,0.0329,0.0005
B22883C5,IAEA603,2023-10,4.9968,33.9397,28.3346,14.7941,36.8366,-0.1340,0.0053,-0.0067
E9349082,NBS18,2023-10,4.9957,26.2497,6.9706,3.6865,15.4244,-0.0977,-0.1474,0.0036
7B287E6A,IAEA603,2023-12,5.0000,33.9107,28.3016,14.7818,36.8344,-0.1299,0.0031,-0.0026
34BD7088,NBS18,2023-12,4.9979,26.2414,7.0616,3.7170,15.6064,-0.1183,0.0345,-0.0170
DC225C00,VSMOW2_x416,2023-12,4.9985,27.5534,32.8535,17.1322,41.3837,-0.1391,0.0057,-0.0022
1C050F4E,SLAP2_x416,2023-12,4.9968,27.6846,-24.7016,-13.0658,-16.1389,-0.1308,-0.0036,0.0099
9C4338EC,VSMOW2_x416,2023-12,4.9949,27.5402,32.8744,17.1556,41.4046,-0.1268,0.0266,0.0101
E1D6CACD,SLAP2_x416,2023-12,4.9973,27.7586,-24.6715,-13.0621,-16.1088,-0.1431,0.0265,-0.0024
FA87ADF7,SLAP2_x416,2023-12,4.9951,27.6996,-24.7343,-13.0929,-16.1715,-0.1405,-0.0363,0.0002
62E275AA,VSMOW2_x416,2023-12,4.9971,27.5678,32.7911,17.1064,41.3214,-0.1328,-0.0566,0.0041
